speaker,time,row_index
CA1HA_87,370.5745,850
CA1HA_87,370.6395,851
CA1HA_87,370.7145,852
CA1HA_87,370.7945,853
CA1HA_87,370.9495,854
CA1HA_87,371.0145,855
CA1HA_87,371.579,856
CA1HA_87,371.624,857
CA1HA_87,371.664,858
CA1HA_87,371.699,859
CA1HA_87,371.764,860
CA1HA_87,371.839,861
CA1HA_87,371.874,862
CA1HA_87,371.914,863
CA1HA_87,371.969,864
CA1HA_87,372.034,865
CA1HA_87,372.094,866
CA1HA_87,372.194,867
CA1HA_87,372.294,868
CA1HA_87,372.324,869
CA1HA_87,372.364,870
CA1HA_87,372.434,871
CA1HA_87,372.499,872
CA1HA_87,372.544,873
CA1HA_87,372.594,874
CA1HA_87,372.634,875
CA1HA_87,372.714,876
CA1HA_87,372.819,877
CA1HA_87,372.869,878
CA1HA_87,372.919,879
CA1HA_87,372.984,880
CA1HA_87,373.069,881
CA1HA_87,373.9167,882
CA1HA_87,374.0317,883
CA1HA_87,374.1117,884
CA1HA_87,374.1467,885
CA1HA_87,374.2267,886
CA1HA_87,374.3917,887
CA1HA_87,374.6967,888
CA1HA_87,375.2005,889
CA1HA_87,375.4905,890
CA1HA_87,376.4941,891
CA1HA_87,376.5441,892
CA1HA_87,376.6041,893
CA1HA_87,376.6541,894
CA1HA_87,376.7041,895
CA1HA_87,376.7791,896
CA1HA_87,376.8341,897
CA1HA_87,376.9141,898
CA1HA_87,376.9841,899
CA1HA_87,377.0341,900
CA1HA_87,377.0941,901
CA1HA_87,377.1491,902
CA1HA_87,377.2091,903
CA1HA_87,377.2491,904
CA1HA_87,377.2941,905
CA1HA_87,377.3541,906
CA1HA_87,377.3941,907
CA1HA_87,377.4341,908
CA1HA_87,377.4741,909
CA1HA_87,377.5141,910
CA1HA_87,377.5841,911
CA1HA_87,377.6541,912
CA1HA_87,377.7241,913
CA1HA_87,377.7891,914
CA1HA_87,377.8241,915
CA1HA_87,377.8541,916
CA1HA_87,377.8841,917
CA1HA_87,377.9141,918
CA1HA_87,377.9441,919
CA1HA_87,378.3436,920
CA1HA_87,378.3736,921
CA1HA_87,378.4236,922
CA1HA_87,378.4686,923
CA1HA_87,378.5336,924
CA1HA_87,378.8841,925
CA1HA_87,378.9941,926
CA1HA_87,379.0441,927
CA1HA_87,379.0891,928
CA1HA_87,379.1341,929
CA1HA_87,379.1641,930
CA1HA_87,379.1941,931
CA1HA_87,379.2441,932
CA1HA_87,379.2891,933
CA1HA_87,379.3241,934
